001,AAU,"Alpha Acid Units. A measurement of bitterness. AAU = hop AA% x Ounces added to the boil. This formula does not consider wort gravity, boil time and so on.",
002,Abbey,"Belgian ale, brewed in a commercial secular brewery.",
003,ABV,"Alcohol by volume. This is a measurement of the percent of alcohol present in a volume of liquid. To obtain this number take the original gravity and subtract the final gravity then multiply the answer by 131.25. One pound of fermentable sugar is approximately equal to 1% ABV in a 5 gallon batch. ABV = ABW x 1.25.",
004,ABW,"Alcohol by weight. This is a measurement of the percent of alcohol present in a volume of liquid. The percent is the number of grams of alcohol in 100 centiliters (e.g. 5%ABW equals 5 grams of alcohol/100 cl),ABW = ABV x .80.",
005,Acetaldehyde,"A by-product of fermentation. It is recognized by an aroma of green apple.,
006,Acid rest,A stage of the mashing process where phytase converts phytic acid to phosphoric acid to acidify the mash.",
007,Adjunct,"An unmalted fermentable ingredient, like honey or sugar. It is used to increase the alcohol or add to the flavor. Adjunct grains, like corn or rice, can be added to lighten the flavor of the beer.",
008,Alcohol,"A byproduct of fermentation. It is produced when yeast consumes the fermentable sugars. Alcohol is what causes intoxication. In the case of beverages we are talking about ethyl alcohol or ethanol (CH3CH2OH).",
009,Ale,"Ales are beers made with top fermenting yeast. They typically are fermented between 68-75°F. Ales absorb some of the byproducts from the fermentation which cause can a fruity or estery nose or flavor.",
010,Alpha Acid,"These come from the soft resin of the hop flower. They are made of humulone, ad-humulone and co-humulone.",
011,Anaerobic,"An organism that can live with out atmospheric oxygen.",
012,Aroma Hops,"Hops added at the end of the boil that add to the aroma of the beer.",
013,Astringent,"A dry, sometimes harsh taste which comes from errors in using the grain.",
014,Attenuation,"The percent of sugars consumed by yeast during fermentation.",
015,Autolysis,"The self digestion of a cell’s body by its own enzymes.",
016,Balling,"A scale for measuring the specific gravity of a solution. Created by Carl Joseph Balling.",
017,Balthazar,"A bottle, 12 liters in capacity.",
018,Barley,"A cerel grain that is malted and used in the mash for making beer.",
